patient	cell_type	control	IL8	delta
S12	Non_plasma_B_cells	2.4543440067705564	0.3564501052119436	-2.0978939015586127
S12	Plasma_B_cells	0.3997110141324327	0.0443324082291395	-0.3553786059032932
S12	Monocytes	1.9309459701687368	1.1950617302431672	-0.7358842399255696
S12	Macrophages	2.5476944076871737	1.91244259921558	-0.6352518084715937
S12	Endothelium	12.501316622677027	7.74813111974829	-4.753185502928737
S12	Fibroblasts	7.40578057775278	1.652962949465976	-5.752817628286804
S13	CD4_T_cells	5.18952986598033	2.0500122068932964	-3.139517659087034
S13	CD8_T_cells	0.9752485587828824	0.8342398120246894	-0.14100874675819297
S13	NK_cells	8.485817098958309	5.6602706628058	-2.825546436152509
S13	Non_plasma_B_cells	6.4665502509561685	2.196804260276779	-4.2697459906793895
S13	Plasma_B_cells	2.1531849283845133	0.6393298996415362	-1.513855028742977
S13	Monocytes	4.536744562919544	3.0732347641637023	-1.463509798755842
S13	Macrophages	2.476740628672811	0.9907443507628018	-1.4859962779100093
S13	Endothelium	5.446553568455151	6.003057150091222	0.556503581636071
S13	Fibroblasts	2.8198055843311325	2.131845791311352	-0.6879597930197803
